Date,Site,VidFile,Camera,VidRecord,Timestamp,Species,Count
6/11/2019,Vickis,SUNP0019,4,CB,3:43,Halichoeres melanurus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:05,Ctenochaetus striatus,2
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:05,Pomacentrus moluccensis,4
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:08,Dascyllus aruanus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:08,Chrysiptera caesifrons,1
21/11/2019,TurtleBeach,GP019033,GP-9,CB,0:20,Pomacentrus chrysurus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,0:26,Thalassoma hardwicke,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,1:04,Pomacentrus chrysurus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CB,1:11,Zebrasoma scopas,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,1:33,Halichoeres chloropterus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,1:40,Dischistodus pseudochrysopoecilus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:09,Scolopsis bilineata,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,5:29,Scolopsis bilineata,2
21/11/2019,TurtleBeach,GP019033,GP-9,CC,6:54,Pomacentrus chrysurus,2
21/11/2019,TurtleBeach,GP019033,GP-9,CC,7:40,Halichoeres melanurus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,8:32,Parupeneus cyclostomus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,10:04,Cheilinus chlorourus,1
21/11/2019,TurtleBeach,GP019033,GP-9,CC,10:09,Halichoeres marginatus,1
21/11/2019,TurtleBeach,GP029033,GP-9,CC,0:26,Halichoeres marginatus,1
21/11/2019,TurtleBeach,GP029033,GP-9,CB,1:03,Caranx sexfasciatus,5
21/11/2019,TurtleBeach,GP029033,GP-9,CB,1:20,Dischistodus prosopotaenia,2
21/11/2019,TurtleBeach,GP029033,GP-9,CC,3:30,Thalassoma hardwicke,1
21/11/2019,TurtleBeach,GP029033,GP-9,CB,10:27,Chaetodon vagabundus,1
21/11/2019,TurtleBeach,GP029033,GP-9,CC,10:47,Halichoeres melanurus,1
21/11/2019,TurtleBeach,GP029033,GP-9,CC,11:37,Hemigymnus melapterus,1
21/11/2019,TurtleBeach,GP029033,GP-9,CC,11:43,Thalassoma nigrofasciatum,1
21/11/2019,TurtleBeach,GP039033,GP-9,CB,1:17,Thalassoma hardwicke,1
21/11/2019,TurtleBeach,GP039033,GP-9,CC,3:10,Halichoeres marginatus,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:00,Sufflamen chrysopterum,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:00,Scarus psittacus,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:00,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CB,0:03,Halichoeres nebulosus,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:06,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CB,0:07,Thalassoma nigrofasciatum,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:08,Scarus psittacus,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:25,Ctenochaetus striatus,13
18/11/2019,Southeast,GP019004,GP-8,CC,0:36,Ctenochaetus striatus,1
18/11/2019,Southeast,GP019004,GP-8,CC,0:36,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CC,1:08,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CC,1:40,Halichoeres nebulosus,2
18/11/2019,Southeast,GP019004,GP-8,CB,1:45,Hemigymnus melapterus,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:12,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:22,Pomacentrus chrysurus,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:35,Scarus niger,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:36,Taeniura meyeni,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:42,Scarus chameleon,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:40,Scarus psittacus,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:39,Scarus psittacus,1
18/11/2019,Southeast,GP019004,GP-8,CC,2:49,Scarus psittacus,2
18/11/2019,Southeast,GP019004,GP-8,CC,2:54,Scarus niger,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:00,Hemigymnus melapterus,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:07,Acanthuridae,3
18/11/2019,Southeast,GP019004,GP-8,CC,3:12,Scarus niger,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:17,Scarus niger,3
18/11/2019,Southeast,GP019004,GP-8,CB,3:20,Thalassoma nigrofasciatum,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:22,Scarus niger,1
18/11/2019,Southeast,GP019004,GP-8,CB,3:36,Naso annulatus,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:37,Scarus sp,1
18/11/2019,Southeast,GP019004,GP-8,CC,3:52,Scarus niger,2
18/11/2019,Southeast,GP019004,GP-8,CC,3:58,Novaculichthys taeniourus,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:00,Scarus niger,2
18/11/2019,Southeast,GP019004,GP-8,CC,4:07,Thalassoma hardwicke,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:10,Novaculichthys taeniourus,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:12,Coris gaimard,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:29,Naso annulatus,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:43,Scarus niger,2
18/11/2019,Southeast,GP019004,GP-8,CC,4:54,Abudefduf whitleyi,8
18/11/2019,Southeast,GP019004,GP-8,CC,4:51,Ctenochaetus striatus,1
18/11/2019,Southeast,GP019004,GP-8,CC,4:55,Acanthurus nigrofuscus,1
18/11/2019,Southeast,GP019004,GP-8,CC,5:02,Ctenochaetus striatus,2
